
5, 8-2, 3|5, 8-1, 2|5, 8-1, 1|5, 8-1, 3|5, 8-0, 2|5, 8-2, 2|5, 8-0, 3|5, 8-1, 4|false
6, 8-2, 3|6, 8-1, 2|6, 8-1, 1|6, 8-1, 3|6, 8-0, 2|6, 8-2, 2|6, 8-0, 3|6, 8-1, 4|false
6, 7-2, 3|6, 7-1, 2|6, 7-1, 1|6, 7-1, 3|6, 7-0, 2|6, 7-2, 2|6, 7-0, 3|6, 7-1, 4|false
6, 6-2, 3|6, 6-1, 2|6, 6-1, 1|6, 6-1, 3|6, 6-0, 2|6, 6-2, 2|6, 6-0, 3|6, 6-1, 4|false
5, 6-2, 3|5, 6-1, 2|5, 6-1, 1|5, 6-1, 3|5, 6-0, 2|5, 6-2, 2|5, 6-0, 3|5, 6-1, 4|false
4, 6-2, 3|4, 6-1, 2|4, 6-1, 1|4, 6-1, 3|4, 6-0, 2|4, 6-2, 2|4, 6-0, 3|4, 6-1, 4|false
4, 7-2, 3|4, 7-1, 2|4, 7-1, 1|4, 7-1, 3|4, 7-0, 2|4, 7-2, 2|4, 7-0, 3|4, 7-1, 4|false
4, 8-2, 3|4, 8-1, 2|4, 8-1, 1|4, 8-1, 3|4, 8-0, 2|4, 8-2, 2|4, 8-0, 3|4, 8-1, 4|false
5, 8-2, 3|5, 8-1, 2|5, 8-1, 1|5, 8-1, 3|5, 8-0, 2|5, 8-2, 2|5, 8-0, 3|5, 8-1, 4|false
6, 8-2, 3|6, 8-1, 2|6, 8-1, 1|6, 8-1, 3|6, 8-0, 2|6, 8-2, 2|6, 8-0, 3|6, 8-1, 4|false
6, 7-2, 3|6, 7-1, 2|6, 7-1, 1|6, 7-1, 3|6, 7-0, 2|6, 7-2, 2|6, 7-0, 3|6, 7-1, 4|false
5, 6-2, 3|5, 6-1, 2|5, 6-1, 1|5, 6-1, 3|5, 6-0, 2|5, 6-2, 2|5, 6-0, 3|5, 6-1, 4|false
4, 6-2, 3|4, 6-1, 2|4, 6-1, 1|4, 6-1, 3|4, 6-0, 2|4, 6-2, 2|4, 6-0, 3|4, 6-1, 4|false
4, 7-2, 3|4, 7-1, 2|4, 7-1, 1|4, 7-1, 3|4, 7-0, 2|4, 7-2, 2|4, 7-0, 3|4, 7-1, 4|false
4, 8-2, 3|4, 8-1, 2|4, 8-1, 1|4, 8-1, 3|4, 8-0, 2|4, 8-2, 2|4, 8-0, 3|4, 8-1, 4|false
6, 8-2, 3|6, 8-1, 2|6, 8-1, 1|6, 8-1, 3|6, 8-0, 2|6, 8-2, 2|6, 8-0, 3|6, 8-1, 4|false
7, 8-2, 3|7, 8-1, 2|7, 8-1, 1|7, 8-1, 3|7, 8-0, 2|7, 8-2, 2|7, 8-0, 3|7, 8-1, 4|false
7, 7-2, 3|7, 7-1, 2|7, 7-1, 1|7, 7-1, 3|7, 7-0, 2|7, 7-2, 2|7, 7-0, 3|7, 7-1, 4|false
7, 6-2, 3|7, 6-1, 2|7, 6-1, 1|7, 6-1, 3|7, 6-0, 2|7, 6-2, 2|7, 6-0, 3|7, 6-1, 4|false
5, 6-2, 3|5, 6-1, 2|5, 6-1, 1|5, 6-1, 3|5, 6-0, 2|5, 6-2, 2|5, 6-0, 3|5, 6-1, 4|false
5, 8-2, 3|5, 8-1, 2|5, 8-1, 1|5, 8-1, 3|5, 8-0, 2|5, 8-2, 2|5, 8-0, 3|5, 8-1, 4|false
7, 7-2, 3|7, 7-1, 2|7, 7-1, 1|7, 7-1, 3|7, 7-0, 2|7, 7-2, 2|7, 7-0, 3|7, 7-1, 4|false
7, 6-2, 3|7, 6-1, 2|7, 6-1, 1|7, 6-1, 3|7, 6-0, 2|7, 6-2, 2|7, 6-0, 3|7, 6-1, 4|false
7, 5-2, 3|7, 5-1, 2|7, 5-1, 1|7, 5-1, 3|7, 5-0, 2|7, 5-2, 2|7, 5-0, 3|7, 5-1, 4|false
6, 5-2, 3|6, 5-1, 2|6, 5-1, 1|6, 5-1, 3|6, 5-0, 2|6, 5-2, 2|6, 5-0, 3|6, 5-1, 4|false
5, 5-2, 3|5, 5-1, 2|5, 5-1, 1|5, 5-1, 3|5, 5-0, 2|5, 5-2, 2|5, 5-0, 3|5, 5-1, 4|false
5, 5-2, 3|5, 5-1, 2|5, 5-1, 1|5, 5-1, 3|5, 5-0, 2|5, 5-2, 2|5, 5-0, 3|5, 5-1, 4|false
4, 5-2, 3|4, 5-1, 2|4, 5-1, 1|4, 5-1, 3|4, 5-0, 2|4, 5-2, 2|4, 5-0, 3|4, 5-1, 4|false
4, 6-2, 3|4, 6-1, 2|4, 6-1, 1|4, 6-1, 3|4, 6-0, 2|4, 6-2, 2|4, 6-0, 3|4, 6-1, 4|false
4, 7-2, 3|4, 7-1, 2|4, 7-1, 1|4, 7-1, 3|4, 7-0, 2|4, 7-2, 2|4, 7-0, 3|4, 7-1, 4|false
4, 6-2, 3|4, 6-1, 2|4, 6-1, 1|4, 6-1, 3|4, 6-0, 2|4, 6-2, 2|4, 6-0, 3|4, 6-1, 4|false
5, 5-2, 3|5, 5-1, 2|5, 5-1, 1|5, 5-1, 3|5, 5-0, 2|5, 5-2, 2|5, 5-0, 3|5, 5-1, 4|false
5, 4-2, 3|5, 4-1, 2|5, 4-1, 1|5, 4-1, 3|5, 4-0, 2|5, 4-2, 2|5, 4-0, 3|5, 4-1, 4|false
4, 4-2, 3|4, 4-1, 2|4, 4-1, 1|4, 4-1, 3|4, 4-0, 2|4, 4-2, 2|4, 4-0, 3|4, 4-1, 4|false
3, 4-2, 3|3, 4-1, 2|3, 4-1, 1|3, 4-1, 3|3, 4-0, 2|3, 4-2, 2|3, 4-0, 3|3, 4-1, 4|false
3, 5-2, 3|3, 5-1, 2|3, 5-1, 1|3, 5-1, 3|3, 5-0, 2|3, 5-2, 2|3, 5-0, 3|3, 5-1, 4|false
3, 6-2, 3|3, 6-1, 2|3, 6-1, 1|3, 6-1, 3|3, 6-0, 2|3, 6-2, 2|3, 6-0, 3|3, 6-1, 4|false
4, 6-2, 3|4, 6-1, 2|4, 6-1, 1|4, 6-1, 3|4, 6-0, 2|4, 6-2, 2|4, 6-0, 3|4, 6-1, 4|false
5, 5-2, 3|5, 5-1, 2|5, 5-1, 1|5, 5-1, 3|5, 5-0, 2|5, 5-2, 2|5, 5-0, 3|5, 5-1, 4|false
4, 4-2, 3|4, 4-1, 2|4, 4-1, 1|4, 4-1, 3|4, 4-0, 2|4, 4-2, 2|4, 4-0, 3|4, 4-1, 4|false
3, 4-2, 3|3, 4-1, 2|3, 4-1, 1|3, 4-1, 3|3, 4-0, 2|3, 4-2, 2|3, 4-0, 3|3, 4-1, 4|false
3, 5-2, 3|3, 5-1, 2|3, 5-1, 1|3, 5-1, 3|3, 5-0, 2|3, 5-2, 2|3, 5-0, 3|3, 5-1, 4|false
3, 6-2, 3|3, 6-1, 2|3, 6-1, 1|3, 6-1, 3|3, 6-0, 2|3, 6-2, 2|3, 6-0, 3|3, 6-1, 4|false

7, 8-2, 3|7, 8-1, 2|7, 8-1, 1|7, 8-1, 3|7, 8-0, 2|7, 8-2, 2|7, 8-0, 3|7, 8-1, 4|false
8, 8-2, 3|8, 8-1, 2|8, 8-1, 1|8, 8-1, 3|8, 8-0, 2|8, 8-2, 2|8, 8-0, 3|8, 8-1, 4|false
8, 7-2, 3|8, 7-1, 2|8, 7-1, 1|8, 7-1, 3|8, 7-0, 2|8, 7-2, 2|8, 7-0, 3|8, 7-1, 4|false
8, 6-2, 3|8, 6-1, 2|8, 6-1, 1|8, 6-1, 3|8, 6-0, 2|8, 6-2, 2|8, 6-0, 3|8, 6-1, 4|false
7, 6-2, 3|7, 6-1, 2|7, 6-1, 1|7, 6-1, 3|7, 6-0, 2|7, 6-2, 2|7, 6-0, 3|7, 6-1, 4|false
6, 6-2, 3|6, 6-1, 2|6, 6-1, 1|6, 6-1, 3|6, 6-0, 2|6, 6-2, 2|6, 6-0, 3|6, 6-1, 4|false
6, 7-2, 3|6, 7-1, 2|6, 7-1, 1|6, 7-1, 3|6, 7-0, 2|6, 7-2, 2|6, 7-0, 3|6, 7-1, 4|false
6, 8-2, 3|6, 8-1, 2|6, 8-1, 1|6, 8-1, 3|6, 8-0, 2|6, 8-2, 2|6, 8-0, 3|6, 8-1, 4|false
7, 8-2, 3|7, 8-1, 2|7, 8-1, 1|7, 8-1, 3|7, 8-0, 2|7, 8-2, 2|7, 8-0, 3|7, 8-1, 4|false
8, 7-2, 3|8, 7-1, 2|8, 7-1, 1|8, 7-1, 3|8, 7-0, 2|8, 7-2, 2|8, 7-0, 3|8, 7-1, 4|false
8, 6-2, 3|8, 6-1, 2|8, 6-1, 1|8, 6-1, 3|8, 6-0, 2|8, 6-2, 2|8, 6-0, 3|8, 6-1, 4|false
7, 6-2, 3|7, 6-1, 2|7, 6-1, 1|7, 6-1, 3|7, 6-0, 2|7, 6-2, 2|7, 6-0, 3|7, 6-1, 4|false
6, 6-2, 3|6, 6-1, 2|6, 6-1, 1|6, 6-1, 3|6, 6-0, 2|6, 6-2, 2|6, 6-0, 3|6, 6-1, 4|false
6, 7-2, 3|6, 7-1, 2|6, 7-1, 1|6, 7-1, 3|6, 7-0, 2|6, 7-2, 2|6, 7-0, 3|6, 7-1, 4|false
6, 8-2, 3|6, 8-1, 2|6, 8-1, 1|6, 8-1, 3|6, 8-0, 2|6, 8-2, 2|6, 8-0, 3|6, 8-1, 4|false
8, 9-2, 3|8, 9-1, 2|8, 9-1, 1|8, 9-1, 3|8, 9-0, 2|8, 9-2, 2|8, 9-0, 3|8, 9-1, 4|false
9, 9-2, 3|9, 9-1, 2|9, 9-1, 1|9, 9-1, 3|9, 9-0, 2|9, 9-2, 2|9, 9-0, 3|9, 9-1, 4|false
9, 8-2, 3|9, 8-1, 2|9, 8-1, 1|9, 8-1, 3|9, 8-0, 2|9, 8-2, 2|9, 8-0, 3|9, 8-1, 4|false
9, 7-2, 3|9, 7-1, 2|9, 7-1, 1|9, 7-1, 3|9, 7-0, 2|9, 7-2, 2|9, 7-0, 3|9, 7-1, 4|false
7, 8-2, 3|7, 8-1, 2|7, 8-1, 1|7, 8-1, 3|7, 8-0, 2|7, 8-2, 2|7, 8-0, 3|7, 8-1, 4|false
7, 9-2, 3|7, 9-1, 2|7, 9-1, 1|7, 9-1, 3|7, 9-0, 2|7, 9-2, 2|7, 9-0, 3|7, 9-1, 4|false
7, 10-2, 3|7, 10-1, 2|7, 10-1, 1|7, 10-1, 3|7, 10-0, 2|7, 10-2, 2|7, 10-0, 3|7, 10-1, 4|false
8, 10-2, 3|8, 10-1, 2|8, 10-1, 1|8, 10-1, 3|8, 10-0, 2|8, 10-2, 2|8, 10-0, 3|8, 10-1, 4|false
8, 9-2, 3|8, 9-1, 2|8, 9-1, 1|8, 9-1, 3|8, 9-0, 2|8, 9-2, 2|8, 9-0, 3|8, 9-1, 4|false
7, 8-2, 3|7, 8-1, 2|7, 8-1, 1|7, 8-1, 3|7, 8-0, 2|7, 8-2, 2|7, 8-0, 3|7, 8-1, 4|false
6, 8-2, 3|6, 8-1, 2|6, 8-1, 1|6, 8-1, 3|6, 8-0, 2|6, 8-2, 2|6, 8-0, 3|6, 8-1, 4|false
6, 9-2, 3|6, 9-1, 2|6, 9-1, 1|6, 9-1, 3|6, 9-0, 2|6, 9-2, 2|6, 9-0, 3|6, 9-1, 4|false
6, 10-2, 3|6, 10-1, 2|6, 10-1, 1|6, 10-1, 3|6, 10-0, 2|6, 10-2, 2|6, 10-0, 3|6, 10-1, 4|false
9, 8-2, 3|9, 8-1, 2|9, 8-1, 1|9, 8-1, 3|9, 8-0, 2|9, 8-2, 2|9, 8-0, 3|9, 8-1, 4|false
9, 7-2, 3|9, 7-1, 2|9, 7-1, 1|9, 7-1, 3|9, 7-0, 2|9, 7-2, 2|9, 7-0, 3|9, 7-1, 4|false
9, 6-2, 3|9, 6-1, 2|9, 6-1, 1|9, 6-1, 3|9, 6-0, 2|9, 6-2, 2|9, 6-0, 3|9, 6-1, 4|false
8, 6-2, 3|8, 6-1, 2|8, 6-1, 1|8, 6-1, 3|8, 6-0, 2|8, 6-2, 2|8, 6-0, 3|8, 6-1, 4|false
7, 6-2, 3|7, 6-1, 2|7, 6-1, 1|7, 6-1, 3|7, 6-0, 2|7, 6-2, 2|7, 6-0, 3|7, 6-1, 4|false
7, 8-2, 3|7, 8-1, 2|7, 8-1, 1|7, 8-1, 3|7, 8-0, 2|7, 8-2, 2|7, 8-0, 3|7, 8-1, 4|false
9, 7-2, 3|9, 7-1, 2|9, 7-1, 1|9, 7-1, 3|9, 7-0, 2|9, 7-2, 2|9, 7-0, 3|9, 7-1, 4|false
9, 6-2, 3|9, 6-1, 2|9, 6-1, 1|9, 6-1, 3|9, 6-0, 2|9, 6-2, 2|9, 6-0, 3|9, 6-1, 4|false
8, 6-2, 3|8, 6-1, 2|8, 6-1, 1|8, 6-1, 3|8, 6-0, 2|8, 6-2, 2|8, 6-0, 3|8, 6-1, 4|false
7, 6-2, 3|7, 6-1, 2|7, 6-1, 1|7, 6-1, 3|7, 6-0, 2|7, 6-2, 2|7, 6-0, 3|7, 6-1, 4|false
7, 8-2, 3|7, 8-1, 2|7, 8-1, 1|7, 8-1, 3|7, 8-0, 2|7, 8-2, 2|7, 8-0, 3|7, 8-1, 4|false
9, 7-2, 3|9, 7-1, 2|9, 7-1, 1|9, 7-1, 3|9, 7-0, 2|9, 7-2, 2|9, 7-0, 3|9, 7-1, 4|false
9, 6-2, 3|9, 6-1, 2|9, 6-1, 1|9, 6-1, 3|9, 6-0, 2|9, 6-2, 2|9, 6-0, 3|9, 6-1, 4|false
8, 6-2, 3|8, 6-1, 2|8, 6-1, 1|8, 6-1, 3|8, 6-0, 2|8, 6-2, 2|8, 6-0, 3|8, 6-1, 4|false
7, 8-2, 3|7, 8-1, 2|7, 8-1, 1|7, 8-1, 3|7, 8-0, 2|7, 8-2, 2|7, 8-0, 3|7, 8-1, 4|false

15, 15-2, 3|15, 15-1, 2|15, 15-1, 1|15, 15-1, 3|15, 15-0, 2|15, 15-2, 2|15, 15-0, 3|15, 15-1, 4|false
15, 13-2, 3|15, 13-1, 2|15, 13-1, 1|15, 13-1, 3|15, 13-0, 2|15, 13-2, 2|15, 13-0, 3|15, 13-1, 4|false
14, 13-2, 3|14, 13-1, 2|14, 13-1, 1|14, 13-1, 3|14, 13-0, 2|14, 13-2, 2|14, 13-0, 3|14, 13-1, 4|false
14, 14-2, 3|14, 14-1, 2|14, 14-1, 1|14, 14-1, 3|14, 14-0, 2|14, 14-2, 2|14, 14-0, 3|14, 14-1, 4|false
14, 15-2, 3|14, 15-1, 2|14, 15-1, 1|14, 15-1, 3|14, 15-0, 2|14, 15-2, 2|14, 15-0, 3|14, 15-1, 4|false
15, 15-2, 3|15, 15-1, 2|15, 15-1, 1|15, 15-1, 3|15, 15-0, 2|15, 15-2, 2|15, 15-0, 3|15, 15-1, 4|false
15, 13-2, 3|15, 13-1, 2|15, 13-1, 1|15, 13-1, 3|15, 13-0, 2|15, 13-2, 2|15, 13-0, 3|15, 13-1, 4|false
14, 13-2, 3|14, 13-1, 2|14, 13-1, 1|14, 13-1, 3|14, 13-0, 2|14, 13-2, 2|14, 13-0, 3|14, 13-1, 4|false
14, 15-2, 3|14, 15-1, 2|14, 15-1, 1|14, 15-1, 3|14, 15-0, 2|14, 15-2, 2|14, 15-0, 3|14, 15-1, 4|false
14, 15-2, 3|14, 15-1, 2|14, 15-1, 1|14, 15-1, 3|14, 15-0, 2|14, 15-2, 2|14, 15-0, 3|14, 15-1, 4|false
15, 15-2, 3|15, 15-1, 2|15, 15-1, 1|15, 15-1, 3|15, 15-0, 2|15, 15-2, 2|15, 15-0, 3|15, 15-1, 4|false
